단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
007340,KR7007340003,DN오토모티브,ST,2.0,0,13,0,Y,N,N,0,N,N,Y,,N,N,Y,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,52100,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,29996,500,19880924,9994,4997002500,12.0,,0,,N,N,Y,6261,551,369,282,13.54,20220331.0,5206,,N,N,N
007460,KR7007460009,에이프로젠 MED,ST,3.0,0,12,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,1565,1,1,N,N,N,0,N,N,N,0,0,0,60,N,90,1849706,500,19950708,239733,119866625500,12.0,,0,,N,N,Y,419,0,25,2,-2.21,20220331.0,3751,,N,N,N
007540,KR7007540008,샘표,ST,3.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,51500,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,22604,1000,19760629,2875,2875800000,12.0,,0,,N,N,Y,901,83,90,70,7.16,20220331.0,1481,,N,N,N
007570,KR7007570005,일양약품,ST,3.0,0,9,0,Y,N,N,0,N,N,Y,,N,N,N,N,Y,N,N,N,N,0,N,N,,N,N,N,N,N,24400,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,102142,2500,19740828,19085,47714160000,12.0,,0,,N,N,Y,857,111,126,97,10.71,20220331.0,4656,,N,N,N
007575,KR7007571003,일양약품우,ST,0.0,0,9,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,26850,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2477,2500,19891221,445,1112700000,12.0,,1,,N,N,N,0,0,0,0,0.0,,119,,N,N,N
007590,KR7007590003,동방아그로,ST,3.0,0,8,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,6870,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,6364,500,19770629,13617,6808788500,12.0,,0,,N,N,Y,787,166,166,126,33.37,20220331.0,935,,N,N,N
007610,KR7007610009,선도전기,ST,3.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,3000,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,19891130,18000,9000000000,12.0,,0,,N,N,Y,141,-47,-50,-38,-19.52,20220331.0,540,,N,N,N
007660,KR7007660004,이수페타시스,ST,3.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,7210,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1368915,1000,20031007,63246,63246419000,12.0,,0,,N,N,Y,1405,189,183,142,42.77,20220331.0,4560,,N,N,N
007690,KR7007690001,국도화학,ST,2.0,0,8,0,Y,N,N,0,N,N,Y,,N,N,N,N,N,N,N,Y,N,0,N,N,,N,N,N,N,N,48800,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,21939,5000,19890805,9010,45053080000,12.0,,0,,N,N,Y,4166,356,399,327,16.23,20220331.0,4397,,N,N,N
007700,KR7007700008,F&F홀딩스,ST,2.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,18700,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,9549,500,19841004,39114,19557183500,12.0,,0,,N,N,Y,4382,1366,1338,951,5.8,20220331.0,7314,,N,N,N
